	voltage [V]	g	phi	I	Q
0	0.001	-0.00559239101671208	-0.0033359253415908095	0.0980544649064541	0.00314314067363739
1	0.005061224489795919	-0.005602396492238549	-0.003372507101007208	0.029810519324382785	-0.07833028820459734
2	0.009122448979591836	-0.005668264359693022	-0.003383461953791983	0.022485157968185385	-0.060604504973889556
3	0.013183673469387758	-0.005823011145457713	-0.00321607706996474	0.032169277152843276	-0.05789242879245648
4	0.017244897959183676	-0.0056067451077979075	-0.003305483938311226	0.038665771484375	-0.06686401367187503
5	0.021306122448979593	-0.005626257823807459	-0.0033345929166043384	0.026477625259784067	-0.06822740191232274
6	0.025367346938775515	-0.005649594912510289	-0.0034855800517317164	0.0327949275225821	-0.06396301765814673
7	0.029428571428571432	-0.00560738420283542	-0.0033583026629798946	0.032636980945244407	-0.06520730075426401
8	0.03348979591836735	-0.005734257935270649	-0.0033477192733087687	0.03533813210979133	-0.06735738824154394
9	0.03755102040816327	-0.005646937463707317	-0.003465365714642567	0.0332048831349902	-0.06966272392327472
10	0.041612244897959186	-0.005700449940856692	-0.0033367284114758557	0.031179471682711575	-0.06901852420834619
11	0.04567346938775511	-0.005769824301962956	-0.0033937620549117755	0.034169877810309876	-0.06801087893583302
12	0.04973469387755103	-0.0058887237484668686	-0.0033606989382860787	0.033649917325237776	-0.06801801038091071
13	0.05379591836734694	-0.005721869318566252	-0.0033905058721341134	0.03341821507210625	-0.06795012994307399
14	0.057857142857142864	-0.005662067998628119	-0.0035905633296579257	0.032288288843119524	-0.0692648583848495
15	0.06191836734693878	-0.005763202437980972	-0.00355092408679221	0.030608809595168665	-0.07104711490821744
16	0.0659795918367347	-0.005759398031068487	-0.003537280103068951	0.03189628124237061	-0.06944310665130617
17	0.07004081632653061	-0.005870295037374251	-0.003452906024588381	0.03166619505010141	-0.07132182840027652
18	0.07410204081632654	-0.005775050242482396	-0.0035903452157981515	0.031332039916611626	-0.07246094957143327
19	0.07816326530612246	-0.005807809145426293	-0.0035876456707683245	0.03381640017032624	-0.07093394100666046
20	0.08222448979591837	-0.00570196100480871	-0.0036000959707223517	0.0313211739063263	-0.07177708446979522
21	0.0862857142857143	-0.005750899297680823	-0.003610891367133823	0.032570849717012615	-0.07160271674947583
22	0.09034693877551021	-0.005831734135550182	-0.003611237104208655	0.03217434767086963	-0.07214855629303732
23	0.09440816326530613	-0.006002675088368293	-0.003620664804450336	0.032709665222387205	-0.07260182147739445
24	0.09846938775510206	-0.006155683235192555	-0.003628078705696679	0.03292053937911989	-0.07291911840438844
25	0.10253061224489797	-0.006012837810817474	-0.0035831306146860663	0.03304075923572897	-0.0734133455035334
26	0.10659183673469388	-0.00621749485781677	-0.0036826258529242062	0.03354319306672552	-0.07353448589274195
27	0.1106530612244898	-0.0062162799346879155	-0.00362090279172662	0.03303074055617439	-0.07419713964712539
28	0.11471428571428573	-0.006188987420978264	-0.0035074635790692797	0.03298476794843737	-0.07404024974111967
29	0.11877551020408164	-0.006399372917621804	-0.0037470343007043995	0.032355102896690385	-0.0739540308713913
30	0.12283673469387756	-0.0063225286149370145	-0.0038006499407166536	0.03234126511961223	-0.07427910882979633
31	0.12689795918367347	-0.006219653661652365	-0.003617266855332345	0.03197850581444328	-0.07501077750163312
32	0.1309591836734694	-0.006336123717141838	-0.0036743443002877955	0.03316344352884075	-0.07646556702563033
33	0.13502040816326533	-0.006387800920154434	-0.003693659719980726	0.03231183005657953	-0.0743066554970739
34	0.13908163265306123	-0.006586038181649199	-0.0036114378953698164	0.03254182748297724	-0.07551453596117452
35	0.14314285714285716	-0.006594462416403157	-0.0036542150861182503	0.032966029292875	-0.07558151152763279
36	0.14720408163265308	-0.0067445233940688345	-0.0038423734152480925	0.03240379339363529	-0.07566367818732544
37	0.15126530612244898	-0.006730721035273745	-0.003910244765575044	0.03162059336900712	-0.07501824051141742
38	0.1553265306122449	-0.006912804894261625	-0.003930545860413307	0.0325697108168697	-0.07637552815315304
39	0.15938775510204084	-0.0068754690769310435	-0.003948936498591136	0.032255732387460184	-0.07631516456195467
40	0.16344897959183674	-0.0068427462164592	-0.0037000992432356826	0.03246505357960797	-0.07517856548652088
41	0.16751020408163267	-0.006934754478200578	-0.003974044102351603	0.03165519929316361	-0.07611645706056154
42	0.1715714285714286	-0.006950908279972485	-0.004006231733098507	0.03228116448077723	-0.07675208945398071
43	0.1756326530612245	-0.00721388064284949	-0.0040652001239781955	0.031645715074296296	-0.07705179310376024
44	0.17969387755102043	-0.007119823750918109	-0.004110372705828081	0.031623726338148125	-0.0776081345975399
45	0.18375510204081635	-0.007169210618831109	-0.003900718200886686	0.031170953450455854	-0.0774523218483438
46	0.18781632653061225	-0.007168905900665516	-0.003864779823641149	0.031623513437036635	-0.07751641955856958
47	0.19187755102040818	-0.007376553023385667	-0.004030115343678632	0.03239102590898143	-0.07798023502400044
48	0.1959387755102041	-0.007297167365478361	-0.004075859370050228	0.03225794303739349	-0.07807234809511099
49	0.2	-0.007374081402719666	-0.003941034831781209	0.03233282199134424	-0.07801783660100445
