current[A]	odmr_peak_pos_0[Hz]	odmr_peak_pos_1[Hz]
0.001	2645166279.1897635	2725780852.0969725
0.001132755170113409	2645171186.805733	2725772942.3524246
0.001265510340226818	2645177162.479107	2725764659.364219
0.0013982655103402268	2645180606.446191	2725756713.1506004
0.0015310206804536358	2645185169.107559	2725750305.5572586
0.001663775850567045	2645188456.3149567	2725744173.1189146
0.0017965310206804537	2645194105.1573687	2725737281.194352
0.0019292861907938626	2645196281.68532	2725732246.3530197
0.0020620413609072717	2645197713.820217	2725728854.685839
0.0021947965310206807	2645198616.948409	2725725731.583811
0.0023275517011340898	2645200963.0999985	2725720553.7157907
0.0024603068712474984	2645202520.107742	2725717313.679961
0.0025930620413609075	2645204663.938248	2725716069.002905
0.0027258172114743165	2645205379.2607594	2725711649.806121
0.002858572381587725	2645206465.055467	2725706692.052078
0.0029913275517011342	2645208596.098441	2725705430.44376
0.0031240827218145433	2645208440.748913	2725703236.707842
0.0032568378919279523	2645209410.3761244	2725703145.5448627
0.0033895930620413614	2645210166.830287	2725699237.9769344
0.00352234823215477	2645211829.901844	2725697344.6376376
0.003655103402268179	2645211265.5029984	2725697519.49617
0.003787858572381588	2645212739.865246	2725692513.331506
0.003920613742494997	2645215026.769633	2725690771.6821213
0.004053368912608405	2645214345.2537146	2725690141.551435
0.004186124082721815	2645214948.419607	2725688560.1202164
0.004318879252835224	2645215188.556349	2725688150.598126
0.004451634422948633	2645214789.050474	2725688845.126601
0.004584389593062042	2645215845.08681	2725686270.5779147
0.004717144763175451	2645216797.196478	2725687290.8982296
0.00484989993328886	2645217412.945976	2725685818.312558
0.004982655103402268	2645218059.6042414	2725684993.669169
0.005115410273515678	2645218050.470849	2725686633.3588195
0.0052481654436290865	2645216235.9252105	2725684223.3236237
0.005380920613742495	2645218221.353758	2725682354.1080713
0.005513675783855905	2645220945.360692	2725684016.0355663
0.005646430953969313	2645217234.898386	2725684258.6063676
0.005779186124082723	2645219005.9368258	2725683091.330763
0.005911941294196131	2645219511.9253826	2725683173.8861017
0.00604469646430954	2645220658.7105856	2725681622.862336
0.0061774516344229495	2645223152.130349	2725680675.812169
0.006310206804536358	2645221218.372532	2725680507.682134
0.006442961974649767	2645221772.650437	2725677413.2599573
0.006575717144763176	2645221429.5261946	2725681105.735488
0.006708472314876585	2645221972.5457535	2725680850.5805554
0.0068412274849899935	2645223323.247888	2725678163.4361763
0.006973982655103403	2645216943.045781	2725678106.162464
0.007106737825216812	2645221084.262995	2725680200.9781027
0.007239492995330221	2645223854.446543	2725675911.12059
0.00737224816544363	2645226106.610506	2725675900.0614367
0.007505003335557038	2645224550.978781	2725673761.2129946
0.007637758505670448	2645224715.6267924	2725675454.21638
0.0077705136757838566	2645225023.973976	2725674935.0692163
0.007903268845897267	2645224515.2677636	2725673084.8727016
0.008036024016010675	2645224880.742851	2725672030.0326314
0.008168779186124082	2645224268.663412	2725674684.41799
0.008301534356237494	2645224949.5426416	2725674361.7179413
