current[A]	odmr_peak_pos_0[Hz]	odmr_peak_pos_1[Hz]
0.05	2648249496.1949687	2724709653.296735
0.05	2648246981.1079693	2724710984.770878
0.05	2648246106.272558	2724709849.8384295
0.001	2648161686.7909603	2724770424.473155
0.001	2648161550.423375	2724770865.871073
0.001	2648162641.3931623	2724772667.6559052
0.001	2648163149.6102686	2724771490.5364957
0.001	2648161058.782255	2724771748.84553
0.001	2648160486.3994284	2724771368.7121935
0.001	2648160136.976234	2724772795.0102587
0.001	2648162593.5361586	2724769679.9849586
0.001	2648162293.027338	2724769841.0839133
0.001	2648163473.395668	2724770068.5729113
0.001	2648165081.318949	2724769367.649014
0.001	2648164394.5527	2724770277.814125
0.001	2648162621.9382977	2724770893.0129385
0.001	2648161737.010197	2724771566.6702685
0.001	2648163996.291578	2724772299.099101
0.001	2648162483.361874	2724771380.9204435
0.001	2648162638.0315094	2724771183.354007
0.001	2648160603.9858947	2724773052.314276
0.001	2648158445.728738	2724773078.442959
0.001	2648163305.642296	2724771027.92864
0.001	2648165300.2355986	2724771526.3448186
0.001	2648166473.628639	2724772042.4850035
0.001	2648163025.4398117	2724772356.9069357
0.001	2648161413.2623043	2724772956.4759173
0.001	2648166059.4557495	2724770066.924283
0.001	2648164821.795926	2724771881.096346
0.001	2648164015.22711	2724773548.9047627
0.001	2648164202.7525506	2724773407.5845957
0.001	2648162544.489229	2724772903.7266107
0.001	2648161069.6795535	2724774423.29481
0.05	2648247856.1720467	2724712544.933311
0.05	2648246070.1399612	2724712838.6624966
0.001	2648162685.1475315	2724773808.5878353
0.001	2648161656.2755394	2724775526.0143056
0.001	2648162772.838999	2724774327.5462003
0.001	2648162309.8272343	2724776976.9178987
0.001	2648159086.7604656	2724777909.0682044
0.001	2648159645.249048	2724779798.1006794
0.001	2648160576.8601627	2724776570.288595
0.001	2648163491.961053	2724774807.6467977
0.001	2648162553.781906	2724774376.735094
0.001	2648162215.9830227	2724774698.9759984
0.001	2648163701.657237	2724775179.0023394
0.001	2648164652.5882025	2724775685.372559
0.001	2648161952.3928666	2724776093.704959
0.001	2648164048.7112293	2724775556.385062
0.001	2648162091.029917	2724773480.6971207
0.001	2648165098.283868	2724774709.5279675
0.001	2648163034.717181	2724776023.2704983
0.001	2648161153.8322372	2724774995.4288588
0.001	2648163667.59984	2724776496.9676495
0.001	2648162161.7745724	2724775761.174119
0.001	2648163112.511304	2724775529.298628
0.001	2648162866.0516014	2724774447.474739
0.001	2648166159.5231266	2724774433.582807
0.001	2648163532.780488	2724775532.3972397
0.001	2648162172.6319647	2724775629.174281
0.001	2648162413.1648817	2724776715.876643
0.001	2648163403.853941	2724776480.3657064
0.001	2648165132.7089643	2724773546.7009754
0.001	2648160872.5804825	2724776679.0860844
0.001	2648163537.06753	2724777156.099205
0.05	2648249249.3086443	2724715914.8960276
0.05	2648248432.755067	2724717191.467839
