current[A]	odmr_peak_pos_0[Hz]	odmr_peak_pos_1[Hz]
0.001	2648192231.5791397	2724778195.909995
0.0011991991991991992	2648190012.1816707	2724780858.799506
0.0013983983983983984	2648189691.073285	2724782228.3267994
0.0015975975975975978	2648190585.371395	2724780467.509597
0.0017967967967967968	2648192594.632271	2724781486.817981
0.001995995995995996	2648191606.8990755	2724780370.8316913
0.0021951951951951956	2648191846.345319	2724781900.2603188
0.0023943943943943945	2648192560.748891	2724781606.5729566
0.0025935935935935935	2648188481.2541423	2724782808.392987
0.002792792792792793	2648194173.431961	2724781161.0246124
0.0029919919919919923	2648193336.7625413	2724780859.3976345
0.0031911911911911913	2648193170.791407	2724780058.956449
0.0033903903903903907	2648194384.255722	2724780535.615506
0.0035895895895895896	2648193302.6139174	2724780916.37166
0.003788788788788789	2648193987.3993955	2724781303.4753866
0.003987987987987988	2648193837.026904	2724784285.4698787
0.004187187187187188	2648191040.7091217	2724784803.861085
0.004386386386386387	2648194263.8551726	2724784820.079503
0.004585585585585586	2648192193.7815833	2724784634.0236473
0.004784784784784785	2648195767.2343636	2724781955.197775
0.0049839839839839846	2648195848.146236	2724782136.4053626
0.005183183183183183	2648195194.9218864	2724780398.6103177
0.0053823823823823825	2648197110.286248	2724781541.1647415
0.005581581581581582	2648196536.2986107	2724781021.993614
0.005780780780780781	2648199303.73537	2724779103.596263
0.005979979979979981	2648198882.1365156	2724780576.9419885
0.006179179179179179	2648198570.7122188	2724781888.017521
0.006378378378378379	2648195091.176574	2724784810.143523
0.006577577577577578	2648197119.2245946	2724781305.7872157
0.006776776776776777	2648199558.1295395	2724780437.7204094
0.006975975975975976	2648198022.990484	2724781163.147273
0.007175175175175175	2648198782.6360197	2724778591.188155
0.007374374374374375	2648199911.786522	2724778157.587608
0.007573573573573574	2648202981.0284853	2724776560.013443
0.0077727727727727736	2648201358.201915	2724776017.5988646
0.007971971971971973	2648201772.5843306	2724777675.7313595
0.008171171171171172	2648200773.427187	2724777287.7524915
0.008370370370370372	2648204438.014697	2724772516.762541
0.008569569569569571	2648202808.8298783	2724773652.8799415
0.008768768768768769	2648204723.8349886	2724775384.2188053
0.00896796796796797	2648203010.7261724	2724777867.431589
0.00916716716716717	2648202344.816633	2724778565.7079144
0.009366366366366365	2648203518.445121	2724772982.90936
0.009565565565565565	2648203668.647847	2724774512.773541
0.009764764764764764	2648205208.2347255	2724776394.581686
0.009963963963963963	2648204974.708994	2724775578.587388
0.010163163163163163	2648203266.679275	2724776338.939451
0.010362362362362362	2648204953.1868334	2724773808.454326
0.010561561561561562	2648205469.2309074	2724772779.4405155
0.010760760760760761	2648206421.5012264	2724771279.454751
0.01095995995995996	2648207698.3447895	2724771458.723731
0.01115915915915916	2648208279.4748244	2724769281.679426
0.01135835835835836	2648208255.8499775	2724771684.636928
0.011557557557557559	2648207803.6275043	2724770502.138092
0.011756756756756758	2648209219.5716968	2724770368.5951686
0.011955955955955958	2648208512.61333	2724768580.990317
0.012155155155155157	2648209129.8116493	2724768074.360347
0.012354354354354356	2648209878.3310056	2724769889.2544937
0.012553553553553556	2648209756.435915	2724769624.5833645
0.012752752752752755	2648209438.3953	2724767144.601328
0.012951951951951951	2648209998.276099	2724770085.2766232
0.01315115115115115	2648208110.5348735	2724771437.5796633
